,Titles,Column_Titles,description,URLs
142,Household size by number of rooms,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Number of rooms (Valuation Office Agency) (6 categories) Code', 'Number of rooms (Valuation Office Agency) (6 categories)', 'Household size (5 categories) Code', 'Household size (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify households in England and Wales by household size and by number of rooms. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM202/editions/2021/versions/1
143,Tenure by age - Household Reference Persons,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Age (3 categories) Code', 'Age (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify Household Reference Persons in England and Wales by tenure and by age. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM201/editions/2021/versions/1
144,Sex by single year of age (detailed),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Age (91 categories) Code', 'Age (91 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents in England and Wales by sex and single year of age. The estimates are as at Census Day, 21 March 2021.
 
The classifications for the datasets TS009 Sex by single year of age and RM200 Sex by single year of age (detailed) are the same. However, RM200 has data available at the lower geographies of:

* Lower layer Super Output Areas (LSOAs)
* Middle layer Super Output Areas (MSOAs)
* Electoral wards and divisions
* Westminster parliamentary constituencies",https://api.beta.ons.gov.uk/v1/datasets/RM200/editions/2021/versions/1
145,Number of dwellings that are houses in multiple occupation (HMO),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Households of multiple occupancy (HMO) (3 categories) Code', 'Households of multiple occupancy (HMO) (3 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify dwellings in England and Wales by number of dwellings that are small and large HMOs. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM192/editions/2021/versions/1
146,Gender identity by unpaid carer status,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Gender identity (7 categories) Code', 'Gender identity (7 categories)', 'Unpaid care (5 categories) Code', 'Unpaid care (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by gender identity and unpaid carer status. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM191/editions/2021/versions/1
147,Sexual orientation by tenure,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Tenure of household (5 categories) Code', 'Tenure of household (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by sexual orientation and tenure. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM190/editions/2021/versions/1
148,Sexual orientation by sex,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Sex (2 categories) Code', 'Sex (2 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by sexual orientation and sex. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM189/editions/2021/versions/1
149,Sexual orientation by religion,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Religion (10 categories) Code', 'Religion (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by sexual orientation and religion. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM188/editions/2021/versions/1
150,Sexual orientation by occupancy rating (rooms),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Occupancy rating for rooms (6 categories) Code', 'Occupancy rating for rooms (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by sexual orientation and occupancy rating (rooms). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM187/editions/2021/versions/1
151,Sexual orientation by occupancy rating (bedrooms),"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Occupancy rating for bedrooms (6 categories) Code', 'Occupancy rating for bedrooms (6 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in households in England and Wales, by sexual orientation and occupancy rating (bedrooms). The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM186/editions/2021/versions/1
152,Sexual orientation by NS-SEC,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'National Statistics Socio-economic Classification (NS-SeC) (10 categories) Code', 'National Statistics Socio-economic Classification (NS-SeC) (10 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in England and Wales, by sexual orientation and NS-SEC. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM185/editions/2021/versions/1
153,Sexual orientation by industry,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Industry (current) (9 categories) Code', 'Industry (current) (9 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales, by sexual orientation and industry. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM184/editions/2021/versions/1
154,Sexual orientation by hours worked,"['Lower tier local authorities Code', 'Lower tier local authorities', 'Sexual orientation (6 categories) Code', 'Sexual orientation (6 categories)', 'Hours worked (5 categories) Code', 'Hours worked (5 categories)', 'Observation']","This dataset provides Census 2021 estimates that classify usual residents aged 16 years and over in employment the week before the census in England and Wales, by sexual orientation and hours worked. The estimates are as at Census Day, 21 March 2021.",https://api.beta.ons.gov.uk/v1/datasets/RM183/editions/2021/versions/1
